,Processor,Prompt,Model,Micro,Macro,Kappa,Recall_type-1,Recall_type-2,Recall_type-3,Recall_type-4
22,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,0.3016627078384798,0.26645385334417165,0.10659296769360815,0.4507042253521127,0.12,0.2643419572553431,0.23076923076923078
23,defaultpatch,llm4cc-integrated-patch,qwen2.5:7b,0.1995249406175772,0.23519177451139303,0.0034418088461511953,0.4859154929577465,0.16,0.11023622047244094,0.18461538461538463
24,defaultpatch,llm4cc-clone_type,qwen2.5-coder:7b,0.17973079968329375,0.20594832776184668,-0.04082587197648002,0.778169014084507,0.04,0.00562429696287964,0.0
25,defaultpatch,llm4cc-integrated,qwen2.5-coder:7b,0.1227236737925574,0.22918648170062167,0.02642300178657897,0.49295774647887325,0.36,0.0022497187851518562,0.06153846153846154
26,defaultpatch,llm4cc-clone_type-patch,qwen2.5-coder:7b,0.1702296120348377,0.21362438409987486,-0.05433435398100395,0.7288732394366197,0.12,0.00562429696287964,0.0
27,defaultpatch,llm4cc-integrated-patch,qwen2.5-coder:7b,0.13539192399049882,0.19707333035158256,0.045007080068827254,0.5633802816901409,0.16,0.003374578177727784,0.06153846153846154
28,defaultpatch,llm4cc-clone_type,yi-coder:9b,0.171021377672209,0.25054464278097416,0.006517479617380695,0.19014084507042253,0.56,0.1597300337457818,0.09230769230769231
29,defaultpatch,llm4cc-integrated,yi-coder:9b,0.07759303246239113,0.2180487437038951,-0.025683297421980722,0.25704225352112675,0.56,0.008998875140607425,0.046153846153846156
30,defaultpatch,llm4cc-clone_type-patch,yi-coder:9b,0.1330166270783848,0.23225907534851753,-0.0037005964208940423,0.3485915492957746,0.4,0.05736782902137233,0.12307692307692308
31,defaultpatch,llm4cc-integrated-patch,yi-coder:9b,0.11401425178147269,0.22125752699114126,-0.015824265550956396,0.28169014084507044,0.4,0.049493813273340834,0.15384615384615385
32,defaultpatch,llm4cc-clone_type,hermes3:8b,0.05146476642913698,0.2155487437038951,-0.017621545350544388,0.007042253521126761,0.0,0.008998875140607425,0.8461538461538461
33,defaultpatch,llm4cc-integrated,hermes3:8b,0.16152019002375298,0.25410954826475507,-0.02415285449786886,0.602112676056338,0.08,0.01124859392575928,0.3230769230769231
34,defaultpatch,llm4cc-clone_type-patch,hermes3:8b,0.07205067300079177,0.18386810261935027,-0.058304723147296844,0.014084507042253521,0.04,0.05061867266591676,0.6307692307692307
