,Model1,Model2,Prompt1,Prompt2,Processor1,Processor2,Kappa
169,codellama:13b-instruct,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.020061708270629586
170,codellama:13b-instruct,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.013101306604775598
171,codellama:13b-instruct,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.04045359045546637
172,codellama:13b-instruct,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.06406139109708575
173,codellama:13b-instruct,yi-coder:9b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.017156663027004138
174,codellama:13b-instruct,yi-coder:9b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.0018383836395665654
175,codellama:13b-instruct,hermes3:8b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.009681707426650421
176,codellama:13b-instruct,hermes3:8b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.0062506175595509195
177,codellama:13b-instruct,magicoder:7b-s-cl,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.05606457634115247
178,codellama:13b-instruct,magicoder:7b-s-cl,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.011282030315729275
179,codellama:13b-instruct,codellama:7b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.007703446784624535
180,codellama:13b-instruct,codellama:7b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.015038401171466376
181,codellama:13b-instruct,codellama:13b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.0640948726283479
182,codellama:13b-instruct,codellama:13b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.03817782074276055
183,codellama:13b-instruct,deepseek-coder:6.7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.03722422390145197
184,codellama:13b-instruct,deepseek-coder:6.7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.04770253745390862
185,codellama:13b-instruct,codegemma:7b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.010410556131525528
186,codellama:13b-instruct,codegemma:7b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.036024566855685225
187,codellama:13b-instruct,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.02334653043370971
188,codellama:13b-instruct,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.03348298889110324
189,codellama:13b-instruct,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.0024084485455646565
190,codellama:13b-instruct,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.012815689815163234
